fecha_hora,temperatura,precipitaciones,humedad_relativa,velocidad_viento,rafaga_viento,angulo_viento,direccion_viento,nubosidad,visibilidad,clima
26/09/2024 00:00,14,0.6,0.98,9.4,13.5,7,N,1,9,Ligeras lluvias
26/09/2024 01:00,14,0,0.98,8.6,12.9,12,NNE,1,9,Niebla moderada
26/09/2024 02:00,13.9,0,0.98,9.7,13.9,14,NNE,1,9,Niebla moderada
26/09/2024 03:00,13.9,0,0.98,9.7,14.4,8,N,1,9,Niebla moderada
26/09/2024 04:00,13.6,0,0.98,10.4,16.1,4,N,1,9,Niebla moderada
26/09/2024 05:00,13.4,1.3,0.99,9.4,14.6,4,N,1,9,Niebla moderada
26/09/2024 06:00,13.1,1.9,0.99,10.4,16.7,4,N,1,9,Niebla moderada
26/09/2024 07:00,13.1,2.5,0.99,11.2,17.8,10,N,1,2,Ligeras lluvias
26/09/2024 08:00,13.2,1.9,0.96,9.7,12.1,9,N,1,9,Ligeras lluvias
26/09/2024 09:00,13.2,1.7,0.95,10.8,12.4,9,N,1,9,Ligeras lluvias
26/09/2024 10:00,13.3,1.4,0.93,11.2,12.9,7,N,1,9,Ligeras lluvias
26/09/2024 11:00,13.4,2.1,0.95,12.2,14.1,3,N,1,9,Ligeras lluvias
26/09/2024 12:00,13.5,2.5,0.96,11.5,13.4,355,N,1,9,Ligeras lluvias
26/09/2024 13:00,13.6,2.8,0.96,10.8,12.4,358,N,1,9,Lluvia moderada
26/09/2024 14:00,13.7,4.6,0.96,10.4,12,354,N,1,9,Lluvia moderada
26/09/2024 15:00,13.7,5.4,0.96,9.4,10.8,354,N,1,2,Lluvia moderada
26/09/2024 16:00,13.8,6.3,0.96,10.1,11.7,356,N,1,2,Lluvia moderada
26/09/2024 17:00,13.8,6.1,0.97,10.1,16,354,N,1,9,Lluvia moderada
26/09/2024 18:00,13.8,6,0.98,11.2,17.8,357,N,1,9,Lluvia moderada
26/09/2024 19:00,13.7,5.9,0.99,10.1,16.1,350,N,1,9,Lluvia moderada
26/09/2024 20:00,13.5,5.5,0.99,11.2,18,352,N,1,9,Lluvia moderada
26/09/2024 21:00,13.4,5.3,1,8.3,13.3,351,N,1,9,Lluvia moderada
26/09/2024 22:00,13.9,5.1,1,10.1,16.3,355,N,1,9,Lluvia moderada
26/09/2024 23:00,13.1,1.2,0.98,10.4,17,359,N,1,2,Ligeras lluvias
27/09/2024 00:00,13,7.1,1,8.6,13.9,21,NNE,1,2,Fuertes lluvias
27/09/2024 01:00,12.9,6.1,1,8.6,13.8,12,NNE,1,9,Lluvia moderada
27/09/2024 02:00,12.8,4,1,9.4,15,12,NNE,1,9,Lluvia moderada
27/09/2024 03:00,12.7,2.9,1,10.4,16.7,9,N,1,2,Lluvia moderada
27/09/2024 04:00,12.5,1.9,1,9,14.5,358,N,1,2,Ligeras lluvias
27/09/2024 05:00,12.4,1.7,1,8.6,13.8,350,N,1,2,Ligeras lluvias
27/09/2024 06:00,12.2,1.7,1,9,14.3,351,N,1,2,Ligeras lluvias
27/09/2024 07:00,12.4,1.6,1,9,14,349,N,1,2,Ligeras lluvias
27/09/2024 08:00,12.6,1.7,0.98,7.2,8.3,351,N,1,2,Ligeras lluvias
27/09/2024 09:00,12.8,1.7,0.97,6.8,7.9,350,N,1,2,Ligeras lluvias
27/09/2024 10:00,13.1,1.8,0.96,6.8,7.9,350,N,1,10,Ligeras lluvias
27/09/2024 11:00,13.3,1.7,0.96,6.8,7.9,349,N,1,10,Ligeras lluvias
27/09/2024 12:00,13.5,1.7,0.97,5.8,6.6,342,NNW,1,2,Ligeras lluvias
27/09/2024 13:00,13.9,1.7,0.97,5,5.8,334,NNW,1,2,Ligeras lluvias
27/09/2024 14:00,14.3,1.5,0.93,4.3,5,337,NNW,0.94,2,Ligeras lluvias
27/09/2024 15:00,14.7,1.4,0.91,4,4.6,323,NW,0.91,2,Ligeras lluvias
27/09/2024 16:00,14.4,1.3,0.89,4,4.6,328,NNW,0.88,10,Ligeras lluvias
27/09/2024 17:00,14.1,3,0.95,4,5.9,331,NNW,0.94,10,Ligeras lluvias
27/09/2024 18:00,13.6,3.8,0.97,5,6.8,347,NNW,0.97,10,Ligeras lluvias
27/09/2024 19:00,13.1,4.7,1,5.4,8.6,350,N,1,10,Lluvia moderada
27/09/2024 20:00,12.6,4.8,1,5,8,345,NNW,1,10,Lluvia moderada
27/09/2024 21:00,12.2,4.8,1,4.7,7.5,331,NNW,1,2,Lluvia moderada
27/09/2024 22:00,12.8,4.9,1,4,6.4,336,NNW,1,2,Lluvia moderada
27/09/2024 23:00,11.6,8.1,1,4,6.4,346,NNW,1,2,Fuertes lluvias
28/09/2024 00:00,13.4,0,0.99,2.2,3.6,147,SSE,1,10,Niebla moderada
28/09/2024 01:00,13.3,0,0.99,2.2,3.6,120,ESE,1,5,Niebla moderada
28/09/2024 02:00,13.2,0,0.99,1.4,2.4,117,ESE,1,10,Niebla moderada
28/09/2024 03:00,13.2,0,0.99,0.7,1.2,124,SE,1,10,Niebla moderada
28/09/2024 04:00,13.1,0,0.99,1.4,2.4,99,E,1,10,Niebla moderada
28/09/2024 05:00,13.1,0,0.99,0.7,1.2,49,NE,1,10,Niebla moderada
28/09/2024 06:00,13.1,0,0.99,1.4,2.4,25,NNE,1,10,Niebla moderada
28/09/2024 07:00,13.4,0,0.99,2.5,4.2,18,NNE,1,10,Niebla moderada
28/09/2024 08:00,13.7,0,0.96,3.2,3.7,358,N,0.98,10,Niebla moderada
28/09/2024 09:00,14,0,0.95,3.2,3.7,2,N,0.97,10,Niebla moderada
28/09/2024 10:00,15.2,0,0.94,3.2,3.7,6,N,0.96,10,Cielo cubierto
28/09/2024 11:00,16.3,0,0.83,4.3,5,10,N,0.98,10,Cielo cubierto
28/09/2024 12:00,17.4,0,0.78,4.7,5.5,4,N,0.99,10,Cielo cubierto
28/09/2024 13:00,18.3,0,0.72,6.8,8.5,19,NNE,1,10,Cielo cubierto
28/09/2024 14:00,19,0,0.71,6.8,8.2,27,NNE,0.99,9,Cielo cubierto
28/09/2024 15:00,19.5,0,0.7,6.5,8.2,21,NNE,0.98,9,Cielo cubierto
28/09/2024 16:00,18.8,0,0.69,6.1,8.2,11,NNE,0.97,9,Cielo cubierto
28/09/2024 17:00,18.1,2,0.84,7.6,10.4,10,N,0.99,9,Lluvias fuertes o moderadas
28/09/2024 18:00,17.2,3.1,0.92,8.3,12,18,NNE,0.99,10,Lluvias fuertes o moderadas
28/09/2024 19:00,16.5,4.1,0.99,8.3,13.4,13,NNE,1,2,Lluvias fuertes o moderadas
28/09/2024 20:00,15.9,4.3,0.99,8.3,13.4,2,N,1,2,Lluvias fuertes o moderadas
28/09/2024 21:00,15.5,4.5,1,7.9,12.8,350,N,1,5,Lluvias fuertes o moderadas
28/09/2024 22:00,14.6,4.6,1,7.9,12.8,350,N,1,10,Lluvia moderada
28/09/2024 23:00,14.2,0,0.99,7.6,12.3,354,N,1,5,Niebla moderada
29/09/2024 00:00,13.7,0,1,7.9,12.7,2,N,1,10,Niebla moderada
29/09/2024 01:00,13.4,0,1,6.8,10.8,352,N,1,9,Niebla moderada
29/09/2024 02:00,13.2,0,1,7.2,11.6,4,N,1,9,Niebla moderada
29/09/2024 03:00,13,0,1,7.2,11.5,1,N,1,5,Niebla moderada
29/09/2024 04:00,12.9,0,0.99,7.2,11.2,3,N,1,10,Niebla moderada
29/09/2024 05:00,12.8,0,0.99,6.5,9.7,356,N,1,10,Niebla moderada
29/09/2024 06:00,12.8,0,0.99,6.5,10,0,N,1,10,Niebla moderada
29/09/2024 07:00,13.1,0,0.99,6.5,9.9,356,N,1,10,Niebla moderada
29/09/2024 08:00,13.3,0,0.97,6.5,7.5,355,N,0.97,10,Niebla moderada
29/09/2024 09:00,13.6,0,0.95,6.8,7.9,356,N,0.96,10,Niebla moderada
29/09/2024 10:00,14.8,0,0.94,7.2,8.3,356,N,0.94,10,Cielo cubierto
29/09/2024 11:00,15.9,0,0.83,6.8,7.9,351,N,0.75,10,Cielo cubierto
29/09/2024 12:00,17.1,0,0.77,7.2,8.3,345,NNW,0.65,10,Cielo cubierto
29/09/2024 13:00,17.9,0,0.71,7.2,8.4,341,NNW,0.55,10,Parcialmente nublado
29/09/2024 14:00,18.5,0,0.72,7.9,9.1,338,NNW,0.56,10,Parcialmente nublado
29/09/2024 15:00,18.9,0,0.72,9,10.4,342,NNW,0.56,10,Parcialmente nublado
29/09/2024 16:00,18.2,0,0.72,10.1,11.7,5,N,0.56,9,Parcialmente nublado
29/09/2024 17:00,17.4,0.5,0.85,7.9,9.4,7,N,0.78,10,Periodos de lluvia moderada
29/09/2024 18:00,16.6,0.8,0.91,6.8,8.1,1,N,0.89,10,Periodos de lluvia moderada
29/09/2024 19:00,15.7,1.1,0.97,9.4,13.4,11,NNE,1,10,Ligeras lluvias
29/09/2024 20:00,15.1,2.3,0.99,10.1,16.6,10,N,1,10,Ligeras lluvias
29/09/2024 21:00,14.5,2.9,0.99,10.1,16.5,7,N,1,10,Ligeras lluvias
29/09/2024 22:00,14.3,3.6,1,9.4,15.4,5,N,1,10,Lluvia moderada
29/09/2024 23:00,13.6,0,1,7.9,12.9,354,N,1,10,Niebla moderada
30/09/2024 00:00,13.4,3.8,1,6.8,11.3,1,N,1,9,Lluvia moderada
